iter	Passed	Remaining
825	10600	2233
826	10611	2219
827	10622	2206
828	10633	2193
829	10643	2180
830	10654	2166
831	10666	2153
832	10678	2140
833	10693	2128
834	10711	2116
835	10725	2104
836	10734	2090
837	10744	2077
838	10757	2064
839	10767	2050
840	10778	2037
841	10789	2024
842	10802	2011
843	10811	1998
844	10821	1984
845	10831	1971
846	10843	1958
847	10853	1945
848	10865	1932
849	10879	1919
850	10889	1906
851	10902	1893
852	10913	1880
853	10924	1867
854	10935	1854
855	10945	1841
856	10955	1828
857	10966	1814
858	10975	1801
859	10986	1788
860	10998	1775
861	11009	1762
862	11019	1749
863	11030	1736
864	11040	1723
865	11051	1710
866	11063	1697
867	11075	1684
868	11085	1671
869	11097	1658
870	11106	1644
871	11117	1631
872	11129	1619
873	11140	1606
874	11150	1592
875	11161	1579
876	11171	1566
877	11181	1553
878	11192	1540
879	11203	1527
880	11215	1514
881	11228	1502
882	11250	1490
883	11266	1478
884	11279	1465
885	11291	1452
886	11305	1440
887	11319	1427
888	11339	1415
889	11353	1403
890	11370	1390
891	11381	1377
892	11391	1364
893	11403	1352
894	11415	1339
895	11427	1326
896	11439	1313
897	11451	1300
898	11463	1287
899	11476	1275
900	11487	1262
901	11499	1249
902	11511	1236
903	11523	1223
904	11534	1210
905	11546	1197
906	11559	1185
907	11570	1172
908	11581	1159
909	11592	1146
910	11605	1133
911	11617	1121
912	11628	1108
913	11639	1095
914	11649	1082
915	11662	1069
916	11672	1056
917	11683	1043
918	11707	1031
919	11723	1019
920	11736	1006
921	11747	993
922	11758	980
923	11769	968
924	11781	955
925	11794	942
926	11804	929
927	11817	916
928	11829	904
929	11840	891
930	11853	878
931	11867	865
932	11880	853
933	11891	840
934	11901	827
935	11914	814
936	11926	801
937	11936	788
938	11948	776
939	11960	763
940	11973	750
941	11985	737
942	11999	725
943	12011	712
944	12025	699
945	12038	687
946	12052	674
947	12062	661
948	12073	648
949	12088	636
950	12101	623
951	12113	610
952	12125	597
953	12138	585
954	12151	572
955	12166	559
956	12179	547
957	12192	534
958	12205	521
959	12220	509
960	12229	496
961	12242	483
962	12254	470
963	12266	458
964	12276	445
965	12287	432
966	12300	419
967	12310	406
968	12321	394
969	12333	381
970	12345	368
971	12357	355
972	12371	343
973	12382	330
974	12397	317
975	12411	305
976	12424	292
977	12433	279
978	12446	266
979	12457	254
980	12467	241
981	12477	228
982	12488	215
983	12500	203
984	12513	190
985	12524	177
986	12533	165
987	12544	152
988	12555	139
989	12568	126
990	12579	114
991	12591	101
992	12603	88
993	12615	76
994	12626	63
995	12638	50
996	12650	38
997	12663	25
998	12676	12
999	12687	0
